id,make
1,ACURA
2,AGRALE
3,AIXAM
4,ALFA ROMEO
5,ARO
6,ASIA
7,AUDI
8,BAIC
9,BMW
10,CADILLAC
11,CAN-AM
12,CFMOTO
13,CHANGAN
14,CHERY
15,CHEVROLET
16,CHRYSLER
17,CITROEN
18,DACIA
19,DAEWOO
20,DAIHATSU
21,DEUTZ AGRALE
22,DFSK
23,DODGE
24,DONGFENG
25,DS
26,FAW
27,FERRARI
28,FIAT
29,FORD
30,FOTON
31,GAC GONOW
32,GALLOPER
33,GAMMA
34,GAZ
35,GEELY
36,GEO
37,GMC
38,GREAT WALL
39,HAVAL
40,HEI BAO
41,HONDA
42,HUMMER
43,HYUNDAI
44,INFINITI
45,INNOCENTI
46,ISUZU
47,IVECO
48,JAC
49,JAGUAR
50,JEEP
51,JETOUR
52,KAWASAKI
53,KIA
54,KYC
55,KYMCO
56,LADA
57,LAND ROVER
58,LEXUS
59,LIFAN
60,LOTUS
61,MARUTI
62,MARUTI SUZUKI
63,MASERATI
64,MAXUS
65,MAZDA
66,MERCEDES
67,MERCEDES BENZ
68,METRO
69,MG
70,MINI
71,MITSUBISHI
72,NISSAN
73,OPEL
74,PEUGEOT
75,PIAGGIO
76,PLYMOUTH
77,POLARIS
78,PONTIAC
79,PORSCHE
80,PROTON
81,RAM
82,RAMBO
83,RANGE ROVER
84,RENAULT
85,ROVER
86,SAAB
87,SANTANA
88,SATURN
89,SCANIA/MARCOPO
90,SEAT
91,SHINERAY
92,SKODA
93,SMART
94,SOUEAST
95,SSANGYONG
96,SUBARU
97,SUNEQUIP
98,SUZUKI
99,SUZUKI - SANTANA
100,TATA
101,TOYOTA
102,VOLKSWAGEN
103,VOLVO
104,WULING
105,YAMAHA
106,YUEJIN
107,ZANELLA
